EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES - EBSERH;;;;;;;;;
HOSPITAL UNIVERSITÁRIO DA UNIVERSIDADE FEDERAL DO MARANHÃO - HU-UFMA;;;;;;;;;
;;;;;;;;;
MOVIMENTAÇÃO FINANCEIRA;;;;;;;;;
ATUALIZADO ATÉ: NOVEMBRO/2020;;;;;;;;;
;;;;;;;;;
MÊS;DATA DE RECEBIMENTO;CÓDIGO UG EMITENTE;DESCRIÇÃO DA UG EMITENTE;CATEGORIA DO GASTO;PROGRAMAÇÃO FINANCEIRA;VINCULAÇÃO DO PAGAMENTO;CÓDIGO DA FONTE DO RECURSO;OBSERVAÇÃO;VALOR
JAN;16/01/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000039;PAG.DE DESPESA OBRIGATORIA- RESUL.PRIM=1;6153000400;REPASSE FINANCEIRO CONFORME APURACAO EM 15.01.2020 - FAEC     - PARCELA E COMP. 11/2019;R$ 428.561,34
JAN;16/01/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000048;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;8100915002;REPASSE FINANCEIRO REFERENTE A OCC EBSERH CONFORME APURACAO EM 15.01.20.;R$ 3.177.883,01
JAN;16/01/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000050;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;8100915107;REPASSE FINANCEIRO REFERENTE A OCC EBSERH CONFORME APURACAO EM 15.01.20.;R$ 4.244.650,67
JAN;16/01/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;INVESTIMENTO;155007264432020PF000052;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;8100915107;REPASSE FINANCEIRO REFERENTE A OCC EBSERH CONFORME APURACAO EM 15.01.20.;R$ 1.854.346,50
JAN;23/01/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000149;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;8100150714;REPASSE FINANCEIRO REFERENTE A OCC EBSERH CONFORME APURACAO EM 22.01.20.;R$ 180,00
JAN;23/01/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000150;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;8100915002;REPASSE FINANCEIRO REFERENTE A OCC EBSERH CONFORME APURACAO EM 22.01.20.;R$ 1.756,06
JAN;23/01/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000151;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;8100915107;REPASSE FINANCEIRO REFERENTE A OCC EBSERH CONFORME APURACAO EM 22.01.20.;R$ 180.676,29
JAN;23/01/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000205;PAG.DE DESPESA OBRIGATORIA- RESUL.PRIM=1;6300000300;REPASSE FINANCEIRO CONFORME APURACAO EM 22.01.2020 - TETO MAC - PARCELA 12/2019 - COMP. 11/2019;R$ 45.801,10
JAN;23/01/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;INVESTIMENTO;155007264432020PF000183;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;8100915107; REPASSE FINANCEIRO REFERENTE A OCC EBSERH CONFORME APURACAO EM 22.01.20. ;R$ 625.010,33
JAN;23/01/2020;154041;FUNDACAO UNIVERSIDADE DO MARANHAO;OUTRAS DESPESAS CORRENTES;154041152582020PF000005;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;8142261010;TRANSFERENCIA DE RECURSO FINANCEIRO REF. TED Nº 8480 CONFORME SOLICITACAO DAFC;R$ 2.866.716,90
JAN;27/01/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000288;PAG.DE DESPESA OBRIGATORIA- RESUL.PRIM=1;6153000300; REPASSE FINANCEIRO CONFORME APURACAO EM 27.01.2020 - TETO MAC - PARCELA 01/2020 - COMP. 12/2019 ;R$ 1.589.314,32
JAN;28/01/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000299;PAG.DE DESPESA OBRIGATORIA- RESUL.PRIM=1;6300000300;REPASSE FINANCEIRO CONFORME APURACAO EM 27.01.2020 - TETO MAC - PARCELA 12/2019 - COMP. 11/2019;R$ 106.869,04
JAN;31/01/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000322;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;8100915002;REPASSE FINANCEIRO REFERENTE A OCC EBSERH CONFORME APURACAO EM 29.01.20.;R$ 4.555,20
JAN;31/01/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000323;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;8100915107;REPASSE FINANCEIRO REFERENTE A OCC EBSERH CONFORME APURACAO EM 29.01.20.;R$ 44.748,39
JAN;31/01/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000423;PAG.DE DESPESA OBRIGATORIA- RESUL.PRIM=1;6153000300; REPASSE FINANCEIRO CONFORME APURACAO EM 30.01.2020 - TETO MAC - PARCELA 01/2020 - COMP. 12/2019 ;R$ 1.992.552,42
JAN;31/01/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000424;PAG.DE DESPESA OBRIGATORIA- RESUL.PRIM=1;6300000300;REPASSE FINANCEIRO CONFORME APURACAO EM 30.01.2020 - TETO MAC - PARCELA 12/2019 - COMP. 11/2019;R$ 223.643,00
JAN;31/01/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000425;PAG.DE DESPESA OBRIGATORIA- RESUL.PRIM=1;6153000400;REPASSE FINANCEIRO CONFORME APURACAO EM 30.01.2020 - FAEC     - PARCELA E COMP. 11/2019;R$ 91.137,12
JAN;31/01/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000426;PAG.DE DESPESA OBRIGATORIA- RESUL.PRIM=1;6153000400;REPASSE FINANCEIRO CONFORME APURACAO EM 30.01.2020 - FAEC     - PARCELA E COMP. 12/2019;R$ 4.917,76
JAN;31/01/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;INVESTIMENTO;155007264432020PF000324;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;8100915107;REPASSE FINANCEIRO REFERENTE A OCC EBSERH CONFORME APURACAO EM 29.01.20.;R$ 14.716,33
